Feature,Importance
failure_soon,0.22002975097495192
time_to_failure,0.21037317527960067
next_failure_type_hydraulic_failure,0.059889262981544206
next_failure_type_overheating,0.05232208660506819
next_failure_type_pressure_loss,0.04044523975933073
pca_component_53,0.038629277032068234
next_failure_type_bearing_failure,0.025463458920680252
pca_component_19,0.019641125145250897
vibration_rolling_mean_30,0.019519960023681757
vibration_rolling_min_10,0.017375689135385612
temperature_ratio_vibration,0.01736872510733192
pressure_power_2,0.013294640433051275
vibration_rolling_min_5,0.011740193632135135
vibration_ratio_current,0.011592719181711092
vibration_rolling_min_30,0.010527655151960481
temperature_rolling_max_30,0.01031016011672306
vibration_rolling_max_5,0.010212577941987239
pca_component_67,0.009836329371517271
pca_component_40,0.008953160593660003
vibration_rolling_max_30,0.008854059167394082
